date_start,react_time,cor_pos,cor_idx,clicked_pos,clicked_idx,rahu_pos,result
2025-05-09 20:43:04,11709,BOTTOM LEFT,7,BOTTOM LEFT,7,,CORRECT
2025-05-09 20:43:04,11999,BOTTOM LEFT,18,BOTTOM LEFT,18,,CORRECT
2025-05-09 20:43:04,7199,MIDDLE RIGHT,15,MIDDLE RIGHT,15,,CORRECT
2025-05-09 20:43:04,7265,BOTTOM LEFT,34,BOTTOM LEFT,34,,CORRECT
2025-05-09 20:43:04,6150,BOTTOM RIGHT,6,BOTTOM RIGHT,6,,CORRECT
2025-05-09 20:43:04,8733,MIDDLE LEFT,9,MIDDLE LEFT,9,,CORRECT
2025-05-09 20:43:04,0,MIDDLE LEFT,31,N/A,0,,OPPO CORRECT
2025-05-09 20:43:04,4015,TOP LEFT,24,TOP LEFT,24,,CORRECT
2025-05-09 20:43:04,10271,TOP RIGHT,32,TOP RIGHT,5,,INCORRECT
2025-05-09 20:43:04,8432,BOTTOM RIGHT,28,TOP RIGHT,5,,INCORRECT
2025-05-09 20:43:04,16182,TOP RIGHT,5,TOP RIGHT,5,,CORRECT
2025-05-09 20:43:04,14698,TOP RIGHT,30,TOP RIGHT,30,,CORRECT
2025-05-09 20:43:04,5332,BOTTOM RIGHT,22,BOTTOM RIGHT,22,,CORRECT
2025-05-09 20:43:04,6882,TOP LEFT,8,TOP LEFT,8,,CORRECT
2025-05-09 20:43:04,5649,MIDDLE RIGHT,3,MIDDLE RIGHT,3,,CORRECT
2025-05-09 20:43:04,11474,TOP LEFT,14,TOP LEFT,14,,CORRECT
2025-05-09 20:43:04,2782,MIDDLE RIGHT,35,MIDDLE RIGHT,35,,CORRECT
2025-05-09 20:43:04,2581,BOTTOM LEFT,11,BOTTOM LEFT,11,,CORRECT
2025-05-09 20:43:04,17415,MIDDLE LEFT,4,MIDDLE LEFT,4,,CORRECT
2025-05-09 20:43:04,6915,TOP LEFT,19,TOP LEFT,19,,CORRECT
2025-05-09 20:43:04,7465,TOP RIGHT,13,TOP RIGHT,13,,CORRECT
2025-05-09 20:50:01,16312,TOP RIGHT,28,TOP LEFT,5,BOTOM LEFT,INCORRECT
2025-05-09 20:50:01,12108,TOP RIGHT,22,TOP RIGHT,22,MIDDLE RIGHT,CORRECT
2025-05-09 20:50:01,0,TOP RIGHT,2,N/A,0,TOP RIGHT,OPPO CORRECT
2025-05-09 20:50:01,7869,TOP LEFT,5,TOP LEFT,5,BOTOM RIGHT,CORRECT
2025-05-09 20:50:01,15684,BOTTOM LEFT,9,BOTTOM LEFT,9,BOTOM LEFT,CORRECT
2025-05-09 20:50:01,10380,BOTTOM LEFT,31,BOTTOM LEFT,31,BOTOM LEFT,CORRECT
2025-05-09 20:50:01,10648,MIDDLE LEFT,33,MIDDLE LEFT,33,MIDDLE RIGHT,CORRECT
2025-05-09 20:50:01,6540,MIDDLE LEFT,23,MIDDLE LEFT,23,TOP RIGHT,CORRECT
2025-05-09 20:50:01,7136,BOTTOM LEFT,32,BOTTOM LEFT,32,TOP RIGHT,CORRECT
2025-05-09 20:50:01,12766,MIDDLE LEFT,26,MIDDLE LEFT,26,TOP LEFT,CORRECT
